Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
STRUTLP 007,Various,"Club Africa 2 (Hard African Funk, Afro-Jazz And Original Afro-Beat)",Strut,"2xLP, Comp",,2000,390451,Uncategorized,2025-06-15 10:26:59,,,
873s-7217,The Big Band Of Al Cobine,Plays Songs Of Yesterday And Today,Studio PR,"LP, Album",,1967,12547968,Uncategorized,2025-06-15 10:47:57,,,
SP 1232,Weyes Blood,Titanic Rising,Sub Pop,"LP, Album",,2019,13494298,Uncategorized,2025-11-08 08:58:06,,,
SP 260,Sebadoh,Bakesale,Sub Pop,"LP, Album",,1994,1288153,Uncategorized,2025-06-15 09:45:48,,,
SP 622,The Thermals,More Parts Per Million,Sub Pop,"LP, Album",,2003,390841,Uncategorized,2025-06-15 10:46:02,,,
SP 834,Nirvana,Bleach,Sub Pop,"2xLP, Album, Dlx, RE, RM, Gat",,2009,2652102,Uncategorized,2025-06-15 09:53:05,,,
SP370,Sebadoh,Harmacy,Sub Pop,"LP, Album, 150",,1996,1398335,Uncategorized,2025-06-15 10:11:46,,,
"SP 777, SP 781",Fleet Foxes,Fleet Foxes,"Sub Pop, Sub Pop","LP, Album + 12"", EP + Gat",,2008,1359927,Uncategorized,2026-04-07 18:14:22,,,
S-026,Hella,Bitches Aint Shit But Good People,Suicide Squeeze,"12"", EP, Gre",,2003,1192114,Uncategorized,2025-06-15 10:33:04,,,
6467 022,Johnny Cash & The Tennessee Two,Original Golden Hits Volume III,Sun (9),"LP, Comp, RM",,0,2427934,Uncategorized,2026-04-07 18:03:25,,,
LP 1270,Johnny Cash,All Aboard The Blue Train,Sun (9),"LP, Album, Comp, Mono",,1963,6097283,Uncategorized,2025-07-06 10:23:11,,,
ORGM-2321,Various,Glad Tidings from Sun Records,Sun (9),"LP, Album, Comp, Red",,0,33058473,Uncategorized,2026-04-07 18:00:51,,,
SUN 101,Johnny Cash & The Tennessee Two,Original Golden Hits Volume II,Sun (9),"LP, Comp",,1969,3773004,Uncategorized,2025-06-15 10:07:37,,,
SUN LP 1270,Johnny Cash,All Aboard The Blue Train,Sun (9),"LP, Album, Comp, RE",,2017,9714143,Uncategorized,2025-11-08 09:10:44,,,
SUN8038,Carl Perkins,Blue Suede Shoes,Sun (9),"LP, Comp",,2022,25262047,Uncategorized,2025-06-15 09:16:11,,,
"SUN 100, ST-92085",Johnny Cash & The Tennessee Two,Original Golden Hits - Volume I,"Sun (9), Sun (9)","LP, Comp, Club",,1969,7135962,Uncategorized,2025-06-15 09:26:27,,,
LP 5053,Booker T & The MG's,In The Christmas Spirit,Sundazed Music,"LP, Album, RE, Rai",,2013,11307001,Uncategorized,2025-06-15 10:55:32,,,
SSU 287,Dizzy Gillespie,Featuring Dizzy Gillespie,Sutton,LP,,0,3838112,Uncategorized,2025-06-15 10:44:28,,,
"BLN 5001, 1E 062 ◦ 93596",T. Rex,The Slider,"T. Rex, T. Rex","LP, Album",,1972,457113,Uncategorized,2025-06-15 10:17:37,,,
TT 210,Helen Kane,The Boop-Boop-A-Doop Girl,Take Two Records,"LP, Comp, Ltd",,1981,4063038,Uncategorized,2025-06-15 10:39:24,,,
T13-340C2,Stevie Wonder,Songs In The Key Of Life,Tamla,"2xLP, Ter + 7"", EP + Album, Gat",,1976,266650,Uncategorized,2025-06-15 09:04:27,,,
ZL72025,Marvin Gaye,What's Going On,Tamla Motown,"LP, Album, RE, RP",,1985,1041456,Uncategorized,2025-06-15 10:16:04,,,
"T 364 LP2, T 364LP2",Marvin Gaye,"""Here, My Dear.""","Tamla, Tamla","2xLP, Album, Sup",,1978,306710,Uncategorized,2025-06-15 09:03:46,,,
JC 35594,Bob James,Touchdown,"Tappan Zee Records, Columbia","LP, Album, RP, San",,1978,716065,Uncategorized,2026-04-07 18:22:43,,,
TRR34,Explosions In The Sky,"Those Who Tell The Truth Shall Die, Those Who Tell The Truth Shall Live Forever",Temporary Residence Limited,"LP, Album",,2001,547020,Uncategorized,2025-06-15 09:19:59,,,
"TRR294, TRR 294",Rachel Grimes,The Way Forth,"Temporary Residence Limited, Mossgrove Music","2xLP, Album, Gat",,2019,14453274,Uncategorized,2025-06-15 09:10:08,,,
"SD 501, 501",Various,The Super Hits,"The Atlantic Group, The Atlantic Group","LP, Album, Comp",,1967,1700927,Uncategorized,2025-06-15 10:13:09,,,
GNW 4003,Various,The History Of Northwest Rock Volume 1,The Great Northwest Music Company,"LP, Comp",,1976,2024749,Uncategorized,2025-06-15 09:22:02,,,
"GNW-4005, GNW 4005",Elvis Presley,The Elvis Tapes,"The Great Northwest Music Company, The Great Northwest Music Company","LP, Album, P/Mixed, PRC",,1977,1413230,Uncategorized,2025-06-15 09:52:57,,,
IMAR 121LP,Various,Hillbillies In Hell - Country Music's Tormented Testament (1952-1974) Volume X,The Iron Mountain Analogue Research Facility,"LP, Comp, Ltd, Hel",,2020,15359405,Uncategorized,2025-06-15 09:45:14,,,
IMAR 123LP,Various,Hillbillies In Hell - Country Music's Tormented Testament (1952-1974) Volume XI,The Iron Mountain Analogue Research Facility,"LP, Comp, Ltd, Ora",,2020,16619085,Uncategorized,2025-06-15 10:01:40,,,
IMAR 133,Various,Hillbillies In Hell: Wake Me Up! Brimstone And Beauty From The Nashville Pulpit (1952-1974),The Iron Mountain Analogue Research Facility,"LP, Comp, Ltd, Red",,2023,27866235,Uncategorized,2025-06-15 09:41:41,,,
IMAR 128LP,Various,It's A Rough Old Road To Travel - The Existential Psychodrama In Country Music: Volume II (1964-1974) ,"The Iron Mountain Analogue Research Facility, The Omni Recording Corporation","LP, Comp, Cle",,2022,22846631,Uncategorized,2025-06-15 09:41:25,,,
IMAR139LP,Various,"Hey, Mr Devil: Apocalyptic Gospel And Rapture Rockabilly From Private Press Prophets (1964-1984)","The Iron Mountain Analogue Research Facility, The Omni Recording Corporation","LP, Comp",,2024,31776527,Uncategorized,2025-11-08 09:04:07,,,
IMAR141LP,Various,Hillbillies In Hell: The Endless Sleep (1958-1973),"The Iron Mountain Analogue Research Facility, The Omni Recording Corporation","LP, Comp, Ltd",,2025,33068052,Uncategorized,2026-04-07 18:08:34,,,
IMAR142LP,Various,Diesel Smoke And Dangerous Curves: Big Rig Bustin' Hits (1962-1976),"The Iron Mountain Analogue Research Facility, The Omni Recording Corporation","LP, RSD, Comp, Mono, Ltd, RM, Blu",,2025,33712665,Uncategorized,2025-04-29 13:17:29,,,
IMAR142LP,Various,Diesel Smoke And Dangerous Curves: Big Rig Bustin' Hits (1962-1976),"The Iron Mountain Analogue Research Facility, The Omni Recording Corporation","LP, Comp, Ltd, RM",,2025,33068220,Uncategorized,2025-06-15 09:16:19,,,
IMAR 122LP,Various,Troubled Troubadours,"The Omni Recording Corporation, The Iron Mountain Analogue Research Facility","LP, Comp, Ltd",,2020,15469258,Uncategorized,2025-06-15 10:12:08,,,
IMAR117LP,Various,Cold War Countdown: Country Music Goes To War (1952-1972),"The Omni Recording Corporation, The Iron Mountain Analogue Research Facility","LP, Album, RSD, Comp, Ltd, Yel",,2019,13491407,Uncategorized,2025-06-15 09:58:34,,,
IMAR126LP,Various,Sassy And Strong - Forgotten Sides From Nashville’s Finest Ladies (1967-1973),"The Omni Recording Corporation, The Iron Mountain Analogue Research Facility","LP, Album, Comp, Mono",,2021,19117408,Uncategorized,2024-03-23 14:12:08,Mint (M),Mint (M),
IMAR137,Various,Hillbillies In Hell: Whiskey Is The Devil (1962-1974),"The Omni Recording Corporation, The Iron Mountain Analogue Research Facility","LP, RSD, Comp, Ltd, RM, Red",,2024,30469916,Uncategorized,2025-06-15 10:00:41,,,
IMAR138,Various,Nashville Goes Fuzz: Fuzz Guitar In The Country Music Experience (1956-1970),"The Omni Recording Corporation, The Iron Mountain Analogue Research Facility","LP, Comp",,2024,30013390,Uncategorized,2025-06-15 10:00:54,,,
BT004D2C,Benjamin Tod,Shooting Star,Thirty Tigers,"LP, Album, Red",,2024,32048082,Uncategorized,2025-10-21 18:20:51,,,
YMRC-0061,Colter Wall,Songs Of The Plains,"Thirty Tigers, Young Mary's Record Co.","LP, Album",,2018,12651938,Uncategorized,2025-06-15 09:43:51,,,
THRILL 090,Pullman,Viewfinder,Thrill Jockey,"2xLP, Album, RSD, Ltd, RE",,2015,6917511,Uncategorized,2025-06-15 10:40:08,,,
THRILL 106,Chicago Underground Duo,Axis And Alignment,Thrill Jockey,"LP, Album",,2002,837288,Uncategorized,2025-06-15 10:31:05,,,
thrill038,Trans Am (2),Surrender To The Night,Thrill Jockey,"LP, Album",,1997,660000,Uncategorized,2025-06-15 10:45:55,,,
"THRILL 025, thrill 025",Tortoise,Millions Now Living Will Never Die,"Thrill Jockey, Thrill Jockey","LP, Album",,1996,75542,Uncategorized,2025-06-15 10:14:49,,,
TG193,Dirty Three,Ocean Songs,Touch And Go,"2xLP, Album, RE, Gre",,2023,28641931,Uncategorized,2025-11-08 08:53:34,,,
MCA2-10004,The Who,Quadrophenia,"Track Record, MCA Records","2xLP, Album, Pin",,1973,426359,Uncategorized,2025-06-15 10:41:59,,,
TLP 1025,Odetta,At The Gate Of Horn,"Tradition Everest, Tradition Records (3)","LP, Album, RE",,0,1309986,Uncategorized,2025-06-15 09:28:52,,,
00602567584841,Glen Campbell,Sings For The King,UMe,"LP, Album",,2018,12819123,Uncategorized,2025-06-15 09:53:56,,,
B0032783-01,Various,Christmas Number 1's,UMe,"LP, Comp, Ltd, Opa",,2021,20713672,Uncategorized,2025-11-08 08:56:55,,,
73015,Hugh Masekela,Is Alive And Well At The Whiskey,UNI Records,"LP, Album",,1967,1635169,Uncategorized,2025-06-15 10:43:10,,,
UA-LA216-J2,Bob Wills & His Texas Playboys,For The Last Time,United Artists Records,"2xLP, Album + Box",,1974,2456030,Uncategorized,2025-06-15 09:36:31,,,
UA-LA654-R,Various,Rhythm & Blues Christmas,United Artists Records,"LP, Comp",,1976,5594320,Uncategorized,2025-11-08 09:05:01,,,
00602458863710,Johnny Cash,Songwriter,Universal,"LP, Album, Ltd, Bla",,2024,31155353,Uncategorized,2025-06-15 09:46:08,,,
00602478121234,Lorde,Virgin,"Universal Music New Zealand, Crush Music (2)","LP, Album, Ltd, Red",,2025,34382305,Uncategorized,2025-11-08 09:01:31,,,
"7516558, 602475165583",Florence And The Machine & Jules Buckley And His Orchestra,Symphony Of Lungs (BBC Proms At The Royal Albert Hall),"Universal Music Recordings, Universal Music Recordings","2xLP, Album",,2025,33377864,Uncategorized,2025-11-08 08:55:41,,,
B0008994-01,Amy Winehouse,Back To Black,Universal Republic Records,"LP, Album, Ste",,2006,2848009,Uncategorized,2025-06-15 09:59:15,,,
"B0016299-01, none",Florence And The Machine,Ceremonials,"Universal Republic Records, Universal Island Records Ltd., Luv Luv Luv","2xLP, RP, Gat",,0,30834552,Uncategorized,2025-11-06 15:16:28,,,
VRS-9079,Odetta,Christmas Spirituals,Vanguard,"LP, Album, Mono",,1960,7620850,Uncategorized,2025-06-15 09:36:58,,,
6360 050,Black Sabbath,Master Of Reality,Vertigo,"LP, Album, Emb",,1971,590773,Uncategorized,2025-06-15 10:21:22,,,
558854 6,Astrud Gilberto,Great Women Of Song,Verve Records,"LP, Comp",,2023,28836454,Uncategorized,2025-11-08 09:02:02,,,
584 151-1,Various,Sounds From The Verve Hi-Fi,Verve Records,"2xLP, Comp",,2002,212339,Uncategorized,2025-06-15 10:15:15,,,
602458285697,Samara Joy,A Joyful Holiday,Verve Records,"12"", EP",,2023,28761328,Uncategorized,2025-06-15 09:37:55,,,
602468013167,Samara Joy,Portrait,Verve Records,"LP, Album, Orc",,2024,31990358,Uncategorized,2025-06-15 09:42:46,,,
823 290-1,The Velvet Underground & Nico (3),The Velvet Underground & Nico,Verve Records,"LP, Album, RE, RM, 180",,2008,1999562,Uncategorized,2025-06-15 09:19:44,,,
MG V-4003,Ella Fitzgerald And Louis Armstrong,Ella And Louis,Verve Records,"LP, Album, Mono, RP",,1957,6470785,Uncategorized,2025-07-06 10:07:13,,,
V-8667,Jimmy Smith  Arranged And Conducted By Oliver Nelson,Hoochie Cooche Man,Verve Records,"LP, Album, Mono",,1966,1216165,Uncategorized,2025-07-18 10:05:16,,,
V6-8459,Cal Tjader Quartet,"Saturday Night / Sunday Night At The Blackhawk, San Francisco",Verve Records,"LP, Album, Gat",,1962,3259686,Uncategorized,2025-06-15 10:14:56,,,
V6-8587,Jimmy Smith,The Cat,Verve Records,"LP, Album, Gat",,1964,1103510,Uncategorized,2025-06-15 10:51:54,,,
V6-8625,Wes Montgomery,Bumpin',Verve Records,"LP, Album, Gat",,1965,752612,Uncategorized,2025-06-15 10:17:04,,,
V6-8642,Wes Montgomery,Goin' Out Of My Head,Verve Records,"LP, Album, Gat",,1966,1156607,Uncategorized,2025-06-15 10:24:35,,,
V6-8683,The Bill Evans Trio,Bill Evans At Town Hall (Volume One),Verve Records,"LP, Album, Gat",,1967,3005142,Uncategorized,2025-06-15 09:06:35,,,
V6-8766,Jimmy Smith & Wes Montgomery,Further Adventures Of Jimmy Smith & Wes Montgomery,Verve Records,"LP, Album",,1969,1664681,Uncategorized,2025-06-15 10:11:36,,,
MG V-4003,Ella Fitzgerald And Louis Armstrong,Ella And Louis,"Verve Records, Karusell","LP, Album, Mono",,1956,9057490,Uncategorized,2025-11-08 09:11:42,,,
"MG V-4042, B0021733-01",Ella Fitzgerald,Ella Wishes You A Swinging Christmas,"Verve Records, UMe","LP, Album, Mono, RE, 180",,2014,6391613,Uncategorized,2025-06-15 10:57:13,,,
"602465627381, V6-8806",Jimmy Smith,Root Down - Jimmy Smith Live!,"Verve Records, UMe, Verve Records","LP, Album, RE, 180",,2024,32557170,Uncategorized,2025-11-08 09:01:40,,,
"V-8552, V/V6-8552",Jimmy Smith,Any Number Can Win,"Verve Records, Verve Records","LP, Album, Mono, Gat",,1963,1582488,Uncategorized,2026-04-07 18:21:45,,,
"V6-5052, V/V6-5052",Patrick Williams,Shades Of Today,"Verve Records, Verve Records","LP, Album",,1968,524454,Uncategorized,2025-11-08 09:07:29,,,
"V6-8625, 602478366864",Wes Montgomery,Bumpin',"Verve Records, Verve Records","LP, Album, RE, Gat",,2025,35942692,Uncategorized,2026-04-07 18:11:54,,,
"VS-201, VS/201, VS-V6S-201",Various,The Hits Are On Verve,"Verve Records, Verve Records, Verve Records","LP, Comp, Mono, Ltd",,1964,2469525,Uncategorized,2025-11-08 09:07:23,,,
"V6-8587, V/V6-8587, 602465627374",Jimmy Smith,The Cat,"Verve Records, Verve Records, Verve Records, UMe","LP, Album, RE, Gat",,2024,32558922,Uncategorized,2025-11-08 09:01:47,,,
50999 67928 9 10,The Smashing Pumpkins,Siamese Dream,Virgin,"2xLP, Album, RE, RM, 180",,2011,3255473,Uncategorized,2026-04-07 18:16:43,,,
5099997855316,The Smashing Pumpkins,Mellon Collie And The Infinite Sadness,Virgin,"4xLP, Album, RE, RM, 180 + Box",,2012,4082874,Uncategorized,2025-11-06 15:14:05,,,
"ENOLP6, 00602567750543",Brian Eno,Ambient 1 (Music For Airports),"Virgin EMI Records, UMC","LP, Album, RE, 180",,2025,33976974,Uncategorized,2026-04-07 18:14:46,,,
"S-419, S 419, APA 005-45",Otis Redding,The Dock Of The Bay,"Volt Records (3), Volt Records (3), Atlantic, Analogue Productions","2x12"", Album, Ltd, Num, RE, RM, Gat",,2024,29414950,Uncategorized,2025-10-19 09:32:50,,,
"VOLT S-413, SD 413, VOLT 413",Otis Redding,The Soul Album,"Volt, Volt, Volt","LP, Album, Pre",,1966,2795239,Uncategorized,2025-06-22 12:18:22,,,
2007,Dave Pike,The Doors Of Perception,Vortex Records (2),"LP, Album",,1970,1573372,Uncategorized,2025-06-15 10:17:22,,,
9362-49339-3,Imagene Peise,Atlas Eets Christmas,Warner Bros. Records,"LP, Album, RSD, Red",,2014,6353202,Uncategorized,2025-06-15 10:57:21,,,
BS 2602,Black Sabbath,Black Sabbath Vol. 4,Warner Bros. Records,"LP, Album,  Ga",,1972,379809,Uncategorized,2025-06-15 10:23:39,,,
BS 2695,Black Sabbath,"Sabbath, Bloody Sabbath",Warner Bros. Records,"LP, Album",,1974,447530,Uncategorized,2025-06-15 10:21:03,,,
BSK 3010,Fleetwood Mac,Rumours,Warner Bros. Records,"LP, Album, Club, RCA",,1977,3087794,Uncategorized,2025-05-12 19:50:24,,,
BSK 3075,Van Halen,Van Halen,Warner Bros. Records,"LP, Album, Gol",,1978,6256253,Uncategorized,2025-06-15 10:49:14,,,
BSK 3193,The Doobie Brothers,Minute By Minute,Warner Bros. Records,"LP, Album, Gol",,1978,395838,Uncategorized,2025-06-15 09:43:41,,,
WS 1634,Bill Cosby,Wonderfulness,Warner Bros. Records,"LP, Album, Pit",,1966,603714,Uncategorized,2025-06-15 10:42:16,,,
"1887, WS 1887",Black Sabbath,Paranoid,"Warner Bros. Records, Warner Bros. Records","LP, Album, Gat",,1971,374185,Uncategorized,2025-06-15 10:21:11,,,
"WS 1871, 1871",Black Sabbath,Black Sabbath,"Warner Bros. Records, Warner Bros. Records","LP, Album, Pit",,1970,2011391,Uncategorized,2025-06-15 10:21:39,,,
"9 25491-1, 1-25491, 25491-1","Dolly Parton, Linda Ronstadt, Emmylou Harris",Trio,"Warner Bros. Records, Warner Bros. Records, Warner Bros. Records","LP, Album, Spe",,1987,1395373,Uncategorized,2025-06-15 09:20:35,,,
"ST-91586, ST 91586, WS 1767",The Association (2),Greatest Hits!,"Warner Bros. Records, Warner Bros. Records, Warner Bros. Records","LP, Comp, Club, RE, Cap",,1968,4060029,Uncategorized,2025-06-15 10:39:56,,,
093624827078,Zach Bryan,With Heaven On Top,Warner Records,"2xLP, Album",,2026,36645412,Uncategorized,2026-04-07 18:21:21,,,
093624827771,Sombr (2),I Barely Know Her,Warner Records,"LP, Album",,2025,35598424,Uncategorized,2026-04-07 18:21:01,,,
093624839972,Zach Bryan,The Great American Bar Scene,Warner Records,"2xLP, Album, Gat",,2024,32368914,Uncategorized,2025-04-29 13:02:59,,,
093624849773,Zach Bryan,Zach Bryan,Warner Records,"2xLP, Album",,2023,28574881,Uncategorized,2025-04-29 13:03:20,,,
093624857983,Zach Bryan,Summertime Blues,Warner Records,"12"", EP",,2023,27645498,Uncategorized,2025-04-29 13:03:40,,,
093624869559,Zach Bryan,American Heartbreak,Warner Records,"3xLP, Album",,2023,28344796,Uncategorized,2025-06-15 09:54:30,,,
093624884064,Zach Bryan,DeAnn,Warner Records,"LP, Album",,2022,19518703,Uncategorized,2025-04-29 13:04:21,,,
"RCV1 728029, 081227809331",Fleetwood Mac,Live 1975,"Warner Records, Rhino Records (2), Warner Records, Rhino Records (2)","2xLP, RSD, Ltd, Cry",,2025,35787418,Uncategorized,2026-04-07 18:01:57,,,
"5054197982033, 5054197943386",Dua Lipa,Radical Optimism,"Warner Records, Warner Records","LP, Album, Ltd, Red",,2024,30578674,Uncategorized,2025-06-15 09:47:35,,,
85005315204,"Mark Ronson, Andrew Wyatt",Barbie (Score From The Original Motion Picture Soundtrack),"WaterTower Music, Waxwork Records","LP, Ltd, Neo",,2023,29073277,Uncategorized,2025-06-15 10:12:16,,,
950703,Elvis Presley,A Date With Elvis,WaxTime In Color,"LP, Comp, Ltd, RE, Ora",,2021,19183912,Uncategorized,2025-06-15 09:54:11,,,
18-1379,Charles Wesley Godwin,Seneca,Well Made Music,"LP, Album",,2019,13669243,Uncategorized,2025-06-15 09:34:27,,,
SEW 002,Funkadelic,Maggot Brain,Westbound Records,"LP, Album, RE",,2004,4134092,Uncategorized,2025-06-15 10:20:56,,,
WR4776LP,Samara Joy,Samara Joy,Whirlwind Recordings,"LP, Album, Ltd, Mar",,2021,22396396,Uncategorized,2025-06-15 09:54:46,,,
WOODSIST071,Kevin Morby,Harlem River,Woodsist,"LP, Album",,2013,5221828,Uncategorized,2025-06-15 09:47:28,,,
XL1138LP ,Adele (3),21,XL Recordings,"LP, Album, RE",,2024,31206463,Uncategorized,2026-04-07 18:17:00,,,
XL938LP,Adele (3),19,XL Recordings,"LP, Album, RE",,2018,13381175,Uncategorized,2025-06-15 09:19:36,,,
XLLP740,Adele (3),25,XL Recordings,"LP, Album",,2015,7748058,Uncategorized,2025-06-15 09:23:16,,,
"XLLP611, XLCD611",Sigur Rós,( ),"XL Recordings, XL Recordings","2xLP, Album, RE, 180 + CD",,2015,6589097,Uncategorized,2025-06-15 10:58:41,,,
"XLLP610, XLCD610",Sigur Rós,Ágætis Byrjun,"XL Recordings, XL Recordings, Krúnk","2xLP, Album, RE, 180 + CD, Album, RE",,2015,6589854,Uncategorized,2025-06-15 10:11:29,,,
